 (-2.05933580e-01-1.00883593e-01j)  (-2.44348538e-01+1.58103404e-03j)  (-2.16003182e-01+1.09976022e-01j)  (-1.33106564e-01+1.79938101e-01j)  (2.29390413e-01+1.12863737e-01j)  (2.73563149e-01+0.00000000e+00j)  (2.44481765e-01-1.21003798e-01j)  (1.54108364e-01-2.01246999e-01j)  (-2.26399535e-01-1.13986810e-01j)  (-2.72777517e-01-2.38302204e-03j)  (-2.46227260e-01+1.19201229e-01j)  (-1.57289741e-01+2.01539381e-01j)  (1.98211300e-01+1.03958445e-01j)  (2.42339470e-01+4.86633550e-03j)  (2.20620841e-01-1.05048331e-01j)  (1.41397016e-01-1.80535378e-01j)
 (1.79846933e-01+1.10937004e-01j)  (-5.08623094e-02+2.41848529e-01j)  (-2.48769776e-01+3.81320779e-02j)  (-1.11673857e-01-1.94320780e-01j)  (-2.33157762e-01+7.50559648e-02j)  (-1.75512063e-01-2.18725940e-01j)  (1.41689418e-01-2.44017487e-01j)  (2.46900283e-01+3.84274294e-02j)  (9.07471018e-02-2.32811900e-01j)  (2.82170915e-01+0.00000000e+00j)  (1.01019455e-01+2.61611527e-01j)  (-1.81985289e-01+1.63942960e-01j)  (1.11969955e-01+1.94150316e-01j)  (-1.57893448e-01+1.95984989e-01j)  (-2.34687269e-01-7.74569004e-02j)  (-5.62836719e-03-2.11235081e-01j)
 (1.96994737e-01-1.05173601e-01j)  (2.42871372e-01-1.60712309e-02j)  (2.29550348e-01+8.73816586e-02j)  (1.61192001e-01+1.63569253e-01j)  (-2.26493214e-01+1.11034706e-01j)  (-2.72717347e-01+8.68979252e-03j)  (-2.52517108e-01-1.05548861e-01j)  (-1.73469184e-01-1.86400016e-01j)  (2.31936022e-01-1.05081899e-01j)  (2.73688604e-01+0.00000000e+00j)  (2.48269738e-01+1.13191877e-01j)  (1.66151692e-01+1.89793301e-01j)  (-2.11803800e-01+8.87519693e-02j)  (-2.45492225e-01-7.90465530e-03j)  (-2.17885858e-01-1.08492122e-01j)  (-1.41195457e-01-1.73009409e-01j)
 (-1.82363532e-01-8.53531616e-02j)  (-2.24180184e-01-1.03062256e-01j)  (-2.27207301e-01-9.60878879e-02j)  (-1.89679112e-01-6.78988849e-02j)  (5.75800126e-02-2.38865133e-01j)  (6.28594529e-02-2.90190816e-01j)  (5.40907338e-02-2.91967720e-01j)  (3.55503667e-02-2.43241683e-01j)  (2.45647810e-01+9.35407668e-03j)  (2.96935948e-01+0.00000000e+00j)  (2.96786110e-01-8.94569004e-03j)  (2.45357472e-01-1.31042223e-02j)  (3.22103144e-02+1.98874131e-01j)  (5.30914227e-02+2.40909404e-01j)  (6.05005271e-02+2.39203406e-01j)  (5.07051802e-02+1.94860475e-01j)
 (7.97616545e-02-1.86200952e-01j)  (2.17327902e-01-1.03881423e-01j)  (2.30451237e-01+6.59153534e-02j)  (1.06318293e-01+1.68281407e-01j)  (6.14853649e-02-2.44565382e-01j)  (2.47189891e-01-1.66306380e-01j)  (2.94645745e-01+4.13038697e-02j)  (1.61103388e-01+1.92457637e-01j)  (2.62352489e-02-2.49611609e-01j)  (2.21410930e-01-1.98744370e-01j)  (2.97927264e-01+0.00000000e+00j)  (1.87533505e-01+1.68593774e-01j)  (-5.72443201e-03-1.98970958e-01j)  (1.54410414e-01-1.83330385e-01j)  (2.38304488e-01-3.51246107e-02j)  (1.70117634e-01+1.09966845e-01j)
 (-8.19445298e-03-2.15329275e-01j)  (2.32389193e-01+9.37912838e-02j)  (-1.81053347e-01+1.70905520e-01j)  (-6.15998786e-02-2.00734320e-01j)  (-2.34161156e-01-7.85529609e-02j)  (1.97621080e-01-2.07587335e-01j)  (1.04919292e-01+2.65920594e-01j)  (-2.43920229e-01-1.78684865e-02j)  (-1.55242857e-01+1.88986815e-01j)  (-1.20258228e-01-2.59344903e-01j)  (2.86612269e-01+0.00000000e+00j)  (-1.04561402e-01+2.23760872e-01j)  (1.02914185e-01+1.83023176e-01j)  (-2.48620827e-01+1.32926911e-02j)  (9.23028197e-02-2.32984402e-01j)  (1.50308408e-01+1.54406050e-01j)
 (-6.73052194e-02-2.02354219e-01j)  (-1.78654468e-01+1.74397110e-01j)  (2.33779515e-01+9.02363915e-02j)  (-1.16309044e-02-2.16389808e-01j)  (-2.44717970e-01-1.42384104e-02j)  (1.06549843e-01+2.63154137e-01j)  (1.94953221e-01-2.07026096e-01j)  (-2.34037615e-01-7.81214315e-02j)  (-1.03573385e-01+2.23939985e-01j)  (2.84370468e-01+0.00000000e+00j)  (-1.18533892e-01-2.57978071e-01j)  (-1.57403244e-01+1.87919759e-01j)  (1.49561434e-01+1.56815830e-01j)  (9.45765637e-02-2.32057625e-01j)  (-2.49442276e-01+1.05034068e-02j)  (1.01175185e-01+1.87725343e-01j)
 (-1.93643927e-02-2.18891278e-01j)  (-1.61165780e-01+1.86783360e-01j)  (2.45934616e-01-1.24069086e-02j)  (-1.59881337e-01-1.48655147e-01j)  (-1.24878913e-02-2.50040248e-01j)  (-1.89739374e-01+2.06901415e-01j)  (2.80423712e-01-7.72892262e-03j)  (-1.80285278e-01-1.72817131e-01j)  (-5.51738069e-03-2.49675991e-01j)  (-1.95228803e-01+2.01452002e-01j)  (2.80729809e-01+0.00000000e+00j)  (-1.75842518e-01-1.78200678e-01j)  (-1.50028776e-03-2.18307452e-01j)  (-1.75366083e-01+1.72871350e-01j)  (2.46590257e-01+7.46172913e-03j)  (-1.48237651e-01-1.62215813e-01j)
 (1.76673206e-01+1.35150669e-01j)  (7.72243696e-02-2.41207126e-01j)  (-2.45940240e-01+1.14585482e-02j)  (8.59131572e-02+1.83559608e-01j)  (-8.72814132e-02+2.33507715e-01j)  (2.87794794e-01+0.00000000e+00j)  (-9.94116465e-02-2.67205422e-01j)  (-1.80292851e-01+1.61017477e-01j)  (-2.41196753e-01-1.60083227e-02j)  (8.60307091e-02+2.71808995e-01j)  (2.26876585e-01-1.77067384e-01j)  (-2.12473299e-01-1.30380195e-01j)  (-4.52083783e-02-1.97563668e-01j)  (-2.00931421e-01+1.42283041e-01j)  (2.09282160e-01+1.42637507e-01j)  (5.61241504e-02-2.15242200e-01j)
 (-2.06019696e-01+1.00205955e-03j)  (-2.47063958e-01-9.80317792e-03j)  (-2.45090694e-01-2.60824671e-02j)  (-1.99790967e-01-3.99373554e-02j)  (1.70787436e-02+2.46156411e-01j)  (3.32740774e-03+2.94080534e-01j)  (-1.54647004e-02+2.93399330e-01j)  (-3.04758565e-02+2.43981182e-01j)  (2.43620766e-01-3.32342822e-02j)  (2.93205585e-01-1.87831983e-02j)  (2.94099357e-01+0.00000000e+00j)  (2.46333883e-01+1.42926639e-02j)  (-4.21952123e-02-1.99326332e-01j)  (-2.88537268e-02-2.44779913e-01j)  (-1.25978049e-02-2.46937233e-01j)  (-1.32888874e-03-2.06017847e-01j)
 (1.90758932e-01-1.00889232e-01j)  (1.60638650e-01+1.90153151e-01j)  (-1.54996893e-01+1.98818215e-01j)  (-2.00366173e-01-1.00898129e-01j)  (-2.22387336e-01-1.03512986e-01j)  (5.98873411e-02-2.72173349e-01j)  (2.79708196e-01+0.00000000e+00j)  (5.24442741e-02+2.42418386e-01j)  (5.51020003e-02+2.41828131e-01j)  (-2.53412581e-01+1.18400755e-01j)  (-1.69468526e-01-2.21235720e-01j)  (1.57663357e-01-1.87918417e-01j)  (1.38819294e-01-1.76227805e-01j)  (2.24585444e-01+1.14516800e-01j)  (-6.50448519e-02+2.40275183e-01j)  (-2.15532027e-01-1.06561023e-02j)
