 (-1.53073014e-01+8.67653769e-02j)  (-5.10268800e-02+1.88484741e-01j)  (1.01136904e-01+1.72551127e-01j)  (1.84070682e-01+4.54636559e-02j)  (1.40604178e-01-8.84412223e-02j)  (9.82535655e-02-1.66523850e-01j)  (-5.44344329e-02-2.08054794e-01j)  (-1.91882679e-01-1.10918526e-01j)  (-2.04511776e-01+5.62277847e-02j)  (-9.15712718e-02+1.64420383e-01j)  (-1.84584838e-03+1.97709279e-01j)  (1.55530968e-01+1.57008681e-01j)  (2.29222884e-01+0.00000000e+00j)  (1.55530968e-01-1.57008681e-01j)  (-1.84584838e-03-1.97709279e-01j)  (-9.15712718e-02-1.64420383e-01j)  (-2.04511776e-01-5.62277847e-02j)  (-1.91882679e-01+1.10918526e-01j)  (-5.44344329e-02+2.08054794e-01j)  (9.82535655e-02+1.66523850e-01j)  (1.40604178e-01+8.84412223e-02j)  (1.84070682e-01-4.54636559e-02j)  (1.01136904e-01-1.72551127e-01j)  (-5.10268800e-02-1.88484741e-01j)  (-1.53073014e-01-8.67653769e-02j)
 (9.39856863e-02+1.42617410e-01j)  (1.37102438e-01-1.33566212e-01j)  (-1.60676313e-01-1.14466545e-01j)  (-8.10037629e-02+1.68761872e-01j)  (1.56475460e-01+4.55670479e-02j)  (1.19073994e-01-1.52586617e-01j)  (-1.91488048e-01-1.00881367e-01j)  (-6.86433835e-02+2.12975094e-01j)  (2.11957267e-01+3.04123787e-02j)  (-4.38810499e-03-1.89213580e-01j)  (-1.88649312e-01-6.67488465e-02j)  (-3.79534247e-02+2.21259839e-01j)  (2.33147516e-01+0.00000000e+00j)  (-3.79534247e-02-2.21259839e-01j)  (-1.88649312e-01+6.67488465e-02j)  (-4.38810499e-03+1.89213580e-01j)  (2.11957267e-01-3.04123787e-02j)  (-6.86433835e-02-2.12975094e-01j)  (-1.91488048e-01+1.00881367e-01j)  (1.19073994e-01+1.52586617e-01j)  (1.56475460e-01-4.55670479e-02j)  (-8.10037629e-02-1.68761872e-01j)  (-1.60676313e-01+1.14466545e-01j)  (1.37102438e-01+1.33566212e-01j)  (9.39856863e-02-1.42617410e-01j)
 (-1.43476306e-01-4.47009271e-02j)  (4.09828807e-03-1.83604142e-01j)  (1.91721312e-01-5.12577394e-02j)  (9.87129764e-02+1.64155233e-01j)  (-1.13330446e-01+1.19077904e-01j)  (-1.65727362e-01-7.40683281e-02j)  (3.23051317e-02-2.15132793e-01j)  (2.30077372e-01-2.97895947e-02j)  (8.74260630e-02+2.03902798e-01j)  (-1.48156318e-01+1.17732981e-01j)  (-1.67403298e-01-1.00943666e-01j)  (6.29017227e-02-2.22511120e-01j)  (2.44038482e-01+0.00000000e+00j)  (6.29017227e-02+2.22511120e-01j)  (-1.67403298e-01+1.00943666e-01j)  (-1.48156318e-01-1.17732981e-01j)  (8.74260630e-02-2.03902798e-01j)  (2.30077372e-01+2.97895947e-02j)  (3.23051317e-02+2.15132793e-01j)  (-1.65727362e-01+7.40683281e-02j)  (-1.13330446e-01-1.19077904e-01j)  (9.87129764e-02-1.64155233e-01j)  (1.91721312e-01+5.12577394e-02j)  (4.09828807e-03+1.83604142e-01j)  (-1.43476306e-01+4.47009271e-02j)
 (4.40449021e-02-1.66575755e-01j)  (1.52241357e-01-1.12522390e-01j)  (1.95698806e-01+8.95673807e-03j)  (1.42154732e-01+1.27433606e-01j)  (2.70417716e-02+1.72501547e-01j)  (-3.96650627e-02+1.89150682e-01j)  (-1.66164418e-01+1.32397186e-01j)  (-2.19447626e-01-4.98637001e-03j)  (-1.60444878e-01-1.40610976e-01j)  (-3.01552679e-02-1.92203090e-01j)  (3.46662861e-02-1.98044025e-01j)  (1.68907150e-01-1.42270144e-01j)  (2.27720161e-01+0.00000000e+00j)  (1.68907150e-01+1.42270144e-01j)  (3.46662861e-02+1.98044025e-01j)  (-3.01552679e-02+1.92203090e-01j)  (-1.60444878e-01+1.40610976e-01j)  (-2.19447626e-01+4.98637001e-03j)  (-1.66164418e-01-1.32397186e-01j)  (-3.96650627e-02-1.89150682e-01j)  (2.70417716e-02-1.72501547e-01j)  (1.42154732e-01-1.27433606e-01j)  (1.95698806e-01-8.95673807e-03j)  (1.52241357e-01+1.12522390e-01j)  (4.40449021e-02+1.66575755e-01j)
 (6.77542589e-02-1.71758929e-01j)  (1.90583136e-01+6.33360067e-02j)  (-5.22354760e-02+1.92347441e-01j)  (-1.76342375e-01-3.68850161e-02j)  (2.05630294e-02-1.45263040e-01j)  (9.84900464e-02+1.72546677e-01j)  (-1.84260918e-01+1.22440118e-01j)  (-1.36809103e-01-1.79086441e-01j)  (1.58027085e-01-1.38604124e-01j)  (1.27203938e-01+1.25110432e-01j)  (-1.94635571e-01-2.81383861e-02j)  (1.56336937e-02-2.24088334e-01j)  (2.34565767e-01+0.00000000e+00j)  (1.56336937e-02+2.24088334e-01j)  (-1.94635571e-01+2.81383861e-02j)  (1.27203938e-01-1.25110432e-01j)  (1.58027085e-01+1.38604124e-01j)  (-1.36809103e-01+1.79086441e-01j)  (-1.84260918e-01-1.22440118e-01j)  (9.84900464e-02-1.72546677e-01j)  (2.05630294e-02+1.45263040e-01j)  (-1.76342375e-01+3.68850161e-02j)  (-5.22354760e-02-1.92347441e-01j)  (1.90583136e-01-6.33360067e-02j)  (6.77542589e-02+1.71758929e-01j)
 (-1.66289611e-01-2.77340471e-02j)  (-1.40880962e-01-1.32608405e-01j)  (-4.73935528e-02-1.95700110e-01j)  (6.22631273e-02-1.80167776e-01j)  (1.27594614e-01-1.01803689e-01j)  (9.07284134e-02+1.65822848e-01j)  (-1.83791320e-02+2.15948732e-01j)  (-1.39209772e-01+1.78081295e-01j)  (-2.03357512e-01+7.02061758e-02j)  (-1.80630939e-01-4.43965990e-02j)  (7.83446883e-02-1.78702546e-01j)  (1.87957055e-01-1.22469788e-01j)  (2.34717618e-01+0.00000000e+00j)  (1.87957055e-01+1.22469788e-01j)  (7.83446883e-02+1.78702546e-01j)  (-1.80630939e-01+4.43965990e-02j)  (-2.03357512e-01-7.02061758e-02j)  (-1.39209772e-01-1.78081295e-01j)  (-1.83791320e-02-2.15948732e-01j)  (9.07284134e-02-1.65822848e-01j)  (1.27594614e-01+1.01803689e-01j)  (6.22631273e-02+1.80167776e-01j)  (-4.73935528e-02+1.95700110e-01j)  (-1.40880962e-01+1.32608405e-01j)  (-1.66289611e-01+2.77340471e-02j)
 (9.27540616e-02+1.45003620e-01j)  (3.47217091e-02+1.93183656e-01j)  (-4.26548234e-02+1.98561719e-01j)  (-1.08475193e-01+1.57705373e-01j)  (-1.37463800e-01+8.85136293e-02j)  (-1.88234320e-01-2.07602625e-02j)  (-1.89611553e-01-1.04215803e-01j)  (-1.41085842e-01-1.75262015e-01j)  (-6.04110215e-02-2.05026196e-01j)  (2.00548527e-02-1.83627111e-01j)  (1.37077112e-01-1.36995709e-01j)  (2.05692800e-01-8.47981469e-02j)  (2.32666893e-01+0.00000000e+00j)  (2.05692800e-01+8.47981469e-02j)  (1.37077112e-01+1.36995709e-01j)  (2.00548527e-02+1.83627111e-01j)  (-6.04110215e-02+2.05026196e-01j)  (-1.41085842e-01+1.75262015e-01j)  (-1.89611553e-01+1.04215803e-01j)  (-1.88234320e-01+2.07602625e-02j)  (-1.37463800e-01-8.85136293e-02j)  (-1.08475193e-01-1.57705373e-01j)  (-4.26548234e-02-1.98561719e-01j)  (3.47217091e-02-1.93183656e-01j)  (9.27540616e-02-1.45003620e-01j)
 (1.38592965e-01-8.96664942e-02j)  (-7.74831743e-03+1.88216585e-01j)  (-1.58442616e-01-1.15676184e-01j)  (1.74781330e-01-6.70948509e-02j)  (-3.19268727e-02+1.60289979e-01j)  (1.45931965e-01+1.22683152e-01j)  (-2.09035068e-01+5.80376400e-02j)  (6.99275568e-02-2.14984386e-01j)  (1.35896889e-01+1.68550332e-01j)  (-1.89148713e-01+1.94257672e-02j)  (-7.79607758e-02+1.83894826e-01j)  (-1.24715053e-01-1.89729943e-01j)  (2.36732687e-01+0.00000000e+00j)  (-1.24715053e-01+1.89729943e-01j)  (-7.79607758e-02-1.83894826e-01j)  (-1.89148713e-01-1.94257672e-02j)  (1.35896889e-01-1.68550332e-01j)  (6.99275568e-02+2.14984386e-01j)  (-2.09035068e-01-5.80376400e-02j)  (1.45931965e-01-1.22683152e-01j)  (-3.19268727e-02-1.60289979e-01j)  (1.74781330e-01+6.70948509e-02j)  (-1.58442616e-01+1.15676184e-01j)  (-7.74831743e-03-1.88216585e-01j)  (1.38592965e-01+8.96664942e-02j)
 (1.19099361e-01+1.21153184e-01j)  (1.79173424e-01-7.44726627e-02j)  (-4.48379159e-03-1.99132300e-01j)  (-1.73933238e-01-6.01522537e-02j)  (-9.32383303e-02+1.19659254e-01j)  (-5.91101256e-03+1.91826216e-01j)  (2.03399978e-01+8.64037038e-02j)  (1.59586242e-01-1.64757146e-01j)  (-9.19098569e-02-1.94639335e-01j)  (-1.80597136e-01+1.73387024e-02j)  (-1.46866473e-01+1.29621641e-01j)  (8.13808277e-02+2.13488764e-01j)  (2.40123488e-01+0.00000000e+00j)  (8.13808277e-02-2.13488764e-01j)  (-1.46866473e-01-1.29621641e-01j)  (-1.80597136e-01-1.73387024e-02j)  (-9.19098569e-02+1.94639335e-01j)  (1.59586242e-01+1.64757146e-01j)  (2.03399978e-01-8.64037038e-02j)  (-5.91101256e-03-1.91826216e-01j)  (-9.32383303e-02-1.19659254e-01j)  (-1.73933238e-01+6.01522537e-02j)  (-4.48379159e-03+1.99132300e-01j)  (1.79173424e-01+7.44726627e-02j)  (1.19099361e-01-1.21153184e-01j)
 (-9.14722445e-02+1.33606864e-01j)  (1.83725569e-01-8.33820713e-03j)  (-1.24305320e-01-1.49279984e-01j)  (-4.20006592e-02+1.86323106e-01j)  (1.57388722e-01-7.46349813e-02j)  (-1.87708225e-01-3.12636118e-02j)  (9.93625270e-02+1.88639648e-01j)  (9.39815928e-02-2.01767076e-01j)  (-2.11736678e-01+4.66925096e-02j)  (1.51017628e-01+1.25780302e-01j)  (-5.30061721e-02-1.95342516e-01j)  (-1.36287705e-01+1.78747904e-01j)  (2.32610903e-01+0.00000000e+00j)  (-1.36287705e-01-1.78747904e-01j)  (-5.30061721e-02+1.95342516e-01j)  (1.51017628e-01-1.25780302e-01j)  (-2.11736678e-01-4.66925096e-02j)  (9.39815928e-02+2.01767076e-01j)  (9.93625270e-02-1.88639648e-01j)  (-1.87708225e-01+3.12636118e-02j)  (1.57388722e-01+7.46349813e-02j)  (-4.20006592e-02-1.86323106e-01j)  (-1.24305320e-01+1.49279984e-01j)  (1.83725569e-01+8.33820713e-03j)  (-9.14722445e-02-1.33606864e-01j)
 (-7.68514954e-02-1.28043081e-01j)  (-1.80784809e-01+1.04213735e-02j)  (-8.48420095e-02+1.78982285e-01j)  (1.13760672e-01+1.60502442e-01j)  (1.76498231e-01-1.69565963e-02j)  (-1.81236380e-01+6.77006108e-04j)  (-1.01631188e-01+1.86686863e-01j)  (1.20930633e-01+1.91837126e-01j)  (2.20760952e-01-1.04899084e-02j)  (8.92752730e-02-1.74971764e-01j)  (-1.02261387e-01+1.69464850e-01j)  (1.11543243e-01+1.97361805e-01j)  (2.36976637e-01+0.00000000e+00j)  (1.11543243e-01-1.97361805e-01j)  (-1.02261387e-01-1.69464850e-01j)  (8.92752730e-02+1.74971764e-01j)  (2.20760952e-01+1.04899084e-02j)  (1.20930633e-01-1.91837126e-01j)  (-1.01631188e-01-1.86686863e-01j)  (-1.81236380e-01-6.77006108e-04j)  (1.76498231e-01+1.69565963e-02j)  (1.13760672e-01-1.60502442e-01j)  (-8.48420095e-02-1.78982285e-01j)  (-1.80784809e-01-1.04213735e-02j)  (-7.68514954e-02+1.28043081e-01j)
