 (1.45058432e-03+1.00498029e-01j)  (5.88963188e-02+1.02025251e-01j)  (1.10696764e-01+6.58084266e-02j)  (1.32383531e-01+3.11095028e-03j)  (1.13290812e-01-6.06690050e-02j)  (6.26252611e-02-9.96128694e-02j)  (4.03987614e-03-1.01107053e-01j)  (5.50145811e-03+1.19610120e-01j)  (7.29795094e-02+1.19667603e-01j)  (1.33014813e-01+7.60864849e-02j)  (1.57642362e-01+2.27980042e-03j)  (1.34911226e-01-7.23254797e-02j)  (7.56895492e-02-1.17911773e-01j)  (7.34825535e-03-1.20058595e-01j)  (8.47662609e-03+1.32083964e-01j)  (8.25416122e-02+1.30893878e-01j)  (1.47791684e-01+8.22943255e-02j)  (1.74089659e-01+1.20794362e-03j)  (1.48793872e-01-8.03022080e-02j)  (8.39697404e-02-1.29963948e-01j)  (9.44136776e-03-1.32316967e-01j)  (9.86165087e-03+1.36487373e-01j)  (8.63654607e-02+1.34457571e-01j)  (1.53269751e-01+8.37512547e-02j)  (1.79797372e-01+0.00000000e+00j)  (1.53269751e-01-8.37512547e-02j)  (8.63654607e-02-1.34457571e-01j)  (9.86165087e-03-1.36487373e-01j)  (9.44136776e-03+1.32316967e-01j)  (8.39697404e-02+1.29963948e-01j)  (1.48793872e-01+8.03022080e-02j)  (1.74089659e-01-1.20794362e-03j)  (1.47791684e-01-8.22943255e-02j)  (8.25416122e-02-1.30893878e-01j)  (8.47662609e-03-1.32083964e-01j)  (7.34825535e-03+1.20058595e-01j)  (7.56895492e-02+1.17911773e-01j)  (1.34911226e-01+7.23254797e-02j)  (1.57642362e-01-2.27980042e-03j)  (1.33014813e-01-7.60864849e-02j)  (7.29795094e-02-1.19667603e-01j)  (5.50145811e-03-1.19610120e-01j)  (4.03987614e-03+1.01107053e-01j)  (6.26252611e-02+9.96128694e-02j)  (1.13290812e-01+6.06690050e-02j)  (1.32383531e-01-3.11095028e-03j)  (1.10696764e-01-6.58084266e-02j)  (5.88963188e-02-1.02025251e-01j)  (1.45058432e-03-1.00498029e-01j)
 (-8.51386572e-02-9.01478435e-02j)  (-1.17110558e-01-6.41368787e-02j)  (-1.36923886e-01-2.58989575e-02j)  (-1.40037281e-01+1.78485088e-02j)  (-1.25769923e-01+5.89971914e-02j)  (-9.74369900e-02+9.02331541e-02j)  (-6.13044316e-02+1.06926128e-01j)  (8.68018713e-02+9.98859616e-02j)  (1.21946817e-01+7.36001886e-02j)  (1.44803534e-01+3.37576615e-02j)  (1.50187195e-01-1.28129955e-02j)  (1.36878113e-01-5.75561945e-02j)  (1.07935931e-01-9.24681480e-02j)  (6.97556479e-02-1.12171340e-01j)  (-8.59207037e-02-1.07494518e-01j)  (-1.23419835e-01-8.17607743e-02j)  (-1.48878447e-01-4.14503725e-02j)  (-1.56577713e-01+6.69302861e-03j)  (-1.44762660e-01+5.38931103e-02j)  (-1.16134255e-01+9.16563348e-02j)  (-7.70352328e-02+1.13983100e-01j)  (8.25727260e-02+1.12345760e-01j)  (1.21429319e-01+8.79616194e-02j)  (1.48862445e-01+4.83586871e-02j)  (1.58759477e-01+0.00000000e+00j)  (1.48862445e-01-4.83586871e-02j)  (1.21429319e-01-8.79616194e-02j)  (8.25727260e-02-1.12345760e-01j)  (-7.70352328e-02-1.13983100e-01j)  (-1.16134255e-01-9.16563348e-02j)  (-1.44762660e-01-5.38931103e-02j)  (-1.56577713e-01-6.69302861e-03j)  (-1.48878447e-01+4.14503725e-02j)  (-1.23419835e-01+8.17607743e-02j)  (-8.59207037e-02+1.07494518e-01j)  (6.97556479e-02+1.12171340e-01j)  (1.07935931e-01+9.24681480e-02j)  (1.36878113e-01+5.75561945e-02j)  (1.50187195e-01+1.28129955e-02j)  (1.44803534e-01-3.37576615e-02j)  (1.21946817e-01-7.36001886e-02j)  (8.68018713e-02-9.98859616e-02j)  (-6.13044316e-02-1.06926128e-01j)  (-9.74369900e-02-9.02331541e-02j)  (-1.25769923e-01-5.89971914e-02j)  (-1.40037281e-01-1.78485088e-02j)  (-1.36923886e-01+2.58989575e-02j)  (-1.17110558e-01+6.41368787e-02j)  (-8.51386572e-02+9.01478435e-02j)
 (-5.17615259e-02+8.07703277e-02j)  (-9.57537366e-02+6.55986349e-02j)  (-1.27765416e-01+2.65304169e-02j)  (-1.35117029e-01-2.56050293e-02j)  (-1.14416439e-01-7.41806167e-02j)  (-7.31497073e-02-1.04058635e-01j)  (-2.61057775e-02-1.08087689e-01j)  (-1.14708246e-01+1.00841919e-03j)  (-1.26192789e-01-5.14150389e-02j)  (-1.07537783e-01-1.06380976e-01j)  (-6.15496199e-02-1.45514950e-01j)  (-1.89407973e-03-1.55686642e-01j)  (5.26570342e-02-1.34757100e-01j)  (8.63040562e-02-9.21795224e-02j)  (-7.11036731e-02-1.06865674e-01j)  (-2.92110851e-02-1.47545228e-01j)  (3.20676489e-02-1.62127974e-01j)  (9.45506327e-02-1.42772945e-01j)  (1.38604111e-01-9.43176149e-02j)  (1.51500860e-01-3.24363737e-02j)  (1.32572902e-01+2.31724714e-02j)  (5.33609403e-02-1.24303197e-01j)  (1.11812642e-01-1.10062294e-01j)  (1.58183984e-01-6.48221615e-02j)  (1.75824861e-01+0.00000000e+00j)  (1.58183984e-01+6.48221615e-02j)  (1.11812642e-01+1.10062294e-01j)  (5.33609403e-02+1.24303197e-01j)  (1.32572902e-01-2.31724714e-02j)  (1.51500860e-01+3.24363737e-02j)  (1.38604111e-01+9.43176149e-02j)  (9.45506327e-02+1.42772945e-01j)  (3.20676489e-02+1.62127974e-01j)  (-2.92110851e-02+1.47545228e-01j)  (-7.11036731e-02+1.06865674e-01j)  (8.63040562e-02+9.21795224e-02j)  (5.26570342e-02+1.34757100e-01j)  (-1.89407973e-03+1.55686642e-01j)  (-6.15496199e-02+1.45514950e-01j)  (-1.07537783e-01+1.06380976e-01j)  (-1.26192789e-01+5.14150389e-02j)  (-1.14708246e-01-1.00841919e-03j)  (-2.61057775e-02+1.08087689e-01j)  (-7.31497073e-02+1.04058635e-01j)  (-1.14416439e-01+7.41806167e-02j)  (-1.35117029e-01+2.56050293e-02j)  (-1.27765416e-01-2.65304169e-02j)  (-9.57537366e-02-6.55986349e-02j)  (-5.17615259e-02-8.07703277e-02j)
 (-3.30280411e-02+9.37590163e-02j)  (6.35063267e-02+9.84502702e-02j)  (1.29713353e-01+1.16251926e-02j)  (9.39002210e-02-1.00178516e-01j)  (-2.11167667e-02-1.36040195e-01j)  (-1.14717381e-01-6.39334669e-02j)  (-1.09467730e-01+4.66683650e-02j)  (1.17221128e-01+9.55199129e-03j)  (9.18767124e-02-1.00140829e-01j)  (-2.44173987e-02-1.46852507e-01j)  (-1.36199437e-01-7.44096963e-02j)  (-1.41726164e-01+6.09309310e-02j)  (-3.72266105e-02+1.41383692e-01j)  (8.00807423e-02+1.04762375e-01j)  (-2.23102726e-02-1.29095077e-01j)  (-1.31574107e-01-7.02963847e-02j)  (-1.47728136e-01+6.52398917e-02j)  (-4.11588930e-02+1.61558420e-01j)  (1.00242552e-01+1.30216874e-01j)  (1.54588034e-01+1.24333522e-03j)  (8.59639793e-02-1.08606698e-01j)  (-1.26157598e-01+5.64782375e-02j)  (-3.71394971e-02+1.51127707e-01j)  (1.03003374e-01+1.31231676e-01j)  (1.70694169e-01+0.00000000e+00j)  (1.03003374e-01-1.31231676e-01j)  (-3.71394971e-02-1.51127707e-01j)  (-1.26157598e-01-5.64782375e-02j)  (8.59639793e-02+1.08606698e-01j)  (1.54588034e-01-1.24333522e-03j)  (1.00242552e-01-1.30216874e-01j)  (-4.11588930e-02-1.61558420e-01j)  (-1.47728136e-01-6.52398917e-02j)  (-1.31574107e-01+7.02963847e-02j)  (-2.23102726e-02+1.29095077e-01j)  (8.00807423e-02-1.04762375e-01j)  (-3.72266105e-02-1.41383692e-01j)  (-1.41726164e-01-6.09309310e-02j)  (-1.36199437e-01+7.44096963e-02j)  (-2.44173987e-02+1.46852507e-01j)  (9.18767124e-02+1.00140829e-01j)  (1.17221128e-01-9.55199129e-03j)  (-1.09467730e-01-4.66683650e-02j)  (-1.14717381e-01+6.39334669e-02j)  (-2.11167667e-02+1.36040195e-01j)  (9.39002210e-02+1.00178516e-01j)  (1.29713353e-01-1.16251926e-02j)  (6.35063267e-02-9.84502702e-02j)  (-3.30280411e-02-9.37590163e-02j)
 (-7.54884057e-02+9.04933215e-02j)  (-3.14496181e-02+1.24290480e-01j)  (2.65556459e-02+1.31638633e-01j)  (8.16113968e-02+1.08426304e-01j)  (1.17421376e-01+6.11833598e-02j)  (1.24579517e-01+4.52424545e-03j)  (1.03860402e-01-4.46815927e-02j)  (1.29879945e-01-1.95314815e-02j)  (1.18507276e-01-7.98203172e-02j)  (7.63336838e-02-1.28954051e-01j)  (1.38161175e-02-1.51171692e-01j)  (-5.11988923e-02-1.39528522e-01j)  (-1.00230486e-01-9.85735867e-02j)  (-1.21079940e-01-4.23032571e-02j)  (-1.16521507e-01-7.70525065e-02j)  (-1.50482063e-01-2.16662158e-02j)  (-1.52581861e-01+4.69813675e-02j)  (-1.19608574e-01+1.09316300e-01j)  (-6.02876823e-02+1.47177593e-01j)  (7.88181456e-03+1.50697332e-01j)  (6.53292952e-02+1.21767597e-01j)  (3.49358410e-02+1.37716450e-01j)  (9.83852846e-02+1.19526759e-01j)  (1.47225516e-01+6.95286745e-02j)  (1.65549701e-01+0.00000000e+00j)  (1.47225516e-01-6.95286745e-02j)  (9.83852846e-02-1.19526759e-01j)  (3.49358410e-02-1.37716450e-01j)  (6.53292952e-02-1.21767597e-01j)  (7.88181456e-03-1.50697332e-01j)  (-6.02876823e-02-1.47177593e-01j)  (-1.19608574e-01-1.09316300e-01j)  (-1.52581861e-01-4.69813675e-02j)  (-1.50482063e-01+2.16662158e-02j)  (-1.16521507e-01+7.70525065e-02j)  (-1.21079940e-01+4.23032571e-02j)  (-1.00230486e-01+9.85735867e-02j)  (-5.11988923e-02+1.39528522e-01j)  (1.38161175e-02+1.51171692e-01j)  (7.63336838e-02+1.28954051e-01j)  (1.18507276e-01+7.98203172e-02j)  (1.29879945e-01+1.95314815e-02j)  (1.03860402e-01+4.46815927e-02j)  (1.24579517e-01-4.52424545e-03j)  (1.17421376e-01-6.11833598e-02j)  (8.16113968e-02-1.08426304e-01j)  (2.65556459e-02-1.31638633e-01j)  (-3.14496181e-02-1.24290480e-01j)  (-7.54884057e-02-9.04933215e-02j)
 (-8.62004606e-02-8.13009066e-02j)  (1.27939774e-01-2.23476299e-02j)  (-6.23101376e-02+1.22389135e-01j)  (-6.13188872e-02-1.26037741e-01j)  (1.35307005e-01+2.72866110e-02j)  (-9.91155938e-02+8.57521579e-02j)  (-5.37410730e-03-1.19698549e-01j)  (-1.01680684e-01+8.04684052e-02j)  (-3.32721991e-03-1.41644087e-01j)  (1.21383870e-01+8.71747789e-02j)  (-1.45444499e-01+4.49950547e-02j)  (5.15126784e-02-1.40659530e-01j)  (7.60080752e-02+1.20247556e-01j)  (-1.29587270e-01-1.29893943e-02j)  (6.86622411e-02+1.18174582e-01j)  (-1.47972645e-01-1.84223223e-02j)  (1.09635518e-01-1.12486687e-01j)  (2.38091136e-02+1.58082768e-01j)  (-1.37909862e-01-7.54862922e-02j)  (1.36569863e-01-6.04037724e-02j)  (-3.28683914e-02+1.32850248e-01j)  (1.28944944e-01-5.21531725e-02j)  (-4.04884447e-02+1.46199078e-01j)  (-9.65989584e-02-1.27196191e-01j)  (1.62469297e-01+0.00000000e+00j)  (-9.65989584e-02+1.27196191e-01j)  (-4.04884447e-02-1.46199078e-01j)  (1.28944944e-01+5.21531725e-02j)  (-3.28683914e-02-1.32850248e-01j)  (1.36569863e-01+6.04037724e-02j)  (-1.37909862e-01+7.54862922e-02j)  (2.38091136e-02-1.58082768e-01j)  (1.09635518e-01+1.12486687e-01j)  (-1.47972645e-01+1.84223223e-02j)  (6.86622411e-02-1.18174582e-01j)  (-1.29587270e-01+1.29893943e-02j)  (7.60080752e-02-1.20247556e-01j)  (5.15126784e-02+1.40659530e-01j)  (-1.45444499e-01-4.49950547e-02j)  (1.21383870e-01-8.71747789e-02j)  (-3.32721991e-03+1.41644087e-01j)  (-1.01680684e-01-8.04684052e-02j)  (-5.37410730e-03+1.19698549e-01j)  (-9.91155938e-02-8.57521579e-02j)  (1.35307005e-01-2.72866110e-02j)  (-6.13188872e-02+1.26037741e-01j)  (-6.23101376e-02-1.22389135e-01j)  (1.27939774e-01+2.23476299e-02j)  (-8.62004606e-02+8.13009066e-02j)
 (2.53319230e-02-1.04949424e-01j)  (7.39531661e-02-9.99987140e-02j)  (1.15229631e-01-6.81575325e-02j)  (1.34195553e-01-1.85350199e-02j)  (1.25015556e-01+3.24200630e-02j)  (9.33191959e-02+6.87644030e-02j)  (5.26671904e-02+8.21645027e-02j)  (3.75514059e-02-1.18001178e-01j)  (9.19705601e-02-1.09982660e-01j)  (1.37476780e-01-7.21209926e-02j)  (1.57444550e-01-1.46210365e-02j)  (1.45271935e-01+4.40109240e-02j)  (1.07243783e-01+8.55809796e-02j)  (5.88666616e-02+1.00311098e-01j)  (4.84607141e-02-1.24148341e-01j)  (1.05875504e-01-1.13178515e-01j)  (1.53110071e-01-7.08440092e-02j)  (1.72629342e-01-8.05016532e-03j)  (1.57423747e-01+5.53902089e-02j)  (1.14283833e-01+9.98115725e-02j)  (6.01253668e-02+1.14490535e-01j)  (5.64191097e-02-1.22847804e-01j)  (1.13726491e-01-1.09517098e-01j)  (1.60097659e-01-6.48680654e-02j)  (1.77907220e-01+0.00000000e+00j)  (1.60097659e-01+6.48680654e-02j)  (1.13726491e-01+1.09517098e-01j)  (5.64191097e-02+1.22847804e-01j)  (6.01253668e-02-1.14490535e-01j)  (1.14283833e-01-9.98115725e-02j)  (1.57423747e-01-5.53902089e-02j)  (1.72629342e-01+8.05016532e-03j)  (1.53110071e-01+7.08440092e-02j)  (1.05875504e-01+1.13178515e-01j)  (4.84607141e-02+1.24148341e-01j)  (5.88666616e-02-1.00311098e-01j)  (1.07243783e-01-8.55809796e-02j)  (1.45271935e-01-4.40109240e-02j)  (1.57444550e-01+1.46210365e-02j)  (1.37476780e-01+7.21209926e-02j)  (9.19705601e-02+1.09982660e-01j)  (3.75514059e-02+1.18001178e-01j)  (5.26671904e-02-8.21645027e-02j)  (9.33191959e-02-6.87644030e-02j)  (1.25015556e-01-3.24200630e-02j)  (1.34195553e-01+1.85350199e-02j)  (1.15229631e-01+6.81575325e-02j)  (7.39531661e-02+9.99987140e-02j)  (2.53319230e-02+1.04949424e-01j)
 (-4.60309638e-03-1.05632395e-01j)  (-8.37023750e-02-9.04872756e-02j)  (-1.32710007e-01-1.79939058e-02j)  (-1.16347053e-01+7.05748838e-02j)  (-4.47514446e-02+1.21312449e-01j)  (3.50012969e-02+1.08976449e-01j)  (7.68733209e-02+5.32972511e-02j)  (-9.76567389e-02-7.44660981e-02j)  (-1.43109734e-01+6.12271105e-03j)  (-1.16482169e-01+1.03789850e-01j)  (-2.60507644e-02+1.57142068e-01j)  (7.43731090e-02+1.33153800e-01j)  (1.26182187e-01+5.22159787e-02j)  (1.09368918e-01-3.04129406e-02j)  (-1.29383113e-01+2.99793903e-02j)  (-9.48805521e-02+1.23147923e-01j)  (4.19098591e-03+1.69954863e-01j)  (1.12667557e-01+1.33180901e-01j)  (1.64982979e-01+3.23419602e-02j)  (1.34711920e-01-7.00946977e-02j)  (5.20064006e-02-1.16728671e-01j)  (-5.99887188e-02+1.20408199e-01j)  (3.41385924e-02+1.54721226e-01j)  (1.35861437e-01+1.09043053e-01j)  (1.79713217e-01+0.00000000e+00j)  (1.35861437e-01-1.09043053e-01j)  (3.41385924e-02-1.54721226e-01j)  (-5.99887188e-02-1.20408199e-01j)  (5.20064006e-02+1.16728671e-01j)  (1.34711920e-01+7.00946977e-02j)  (1.64982979e-01-3.23419602e-02j)  (1.12667557e-01-1.33180901e-01j)  (4.19098591e-03-1.69954863e-01j)  (-9.48805521e-02-1.23147923e-01j)  (-1.29383113e-01-2.99793903e-02j)  (1.09368918e-01+3.04129406e-02j)  (1.26182187e-01-5.22159787e-02j)  (7.43731090e-02-1.33153800e-01j)  (-2.60507644e-02-1.57142068e-01j)  (-1.16482169e-01-1.03789850e-01j)  (-1.43109734e-01-6.12271105e-03j)  (-9.76567389e-02+7.44660981e-02j)  (7.68733209e-02-5.32972511e-02j)  (3.50012969e-02-1.08976449e-01j)  (-4.47514446e-02-1.21312449e-01j)  (-1.16347053e-01-7.05748838e-02j)  (-1.32710007e-01+1.79939058e-02j)  (-8.37023750e-02+9.04872756e-02j)  (-4.60309638e-03+1.05632395e-01j)
 (-4.13508784e-02+7.07566008e-02j)  (-8.97791070e-02-5.83594698e-02j)  (7.03149132e-02-1.05917831e-01j)  (1.16520996e-01+7.57472950e-02j)  (-7.43742359e-02+1.19599581e-01j)  (-1.14291694e-01-6.70803108e-02j)  (5.56427637e-02-1.01105643e-01j)  (-3.42430288e-02+9.69680560e-02j)  (-1.20766523e-01-4.80216723e-02j)  (5.69488435e-02-1.39302948e-01j)  (1.49593545e-01+6.02517260e-02j)  (-5.82260559e-02+1.49761416e-01j)  (-1.39464021e-01-5.20686099e-02j)  (4.35151696e-02-1.20014492e-01j)  (-1.88491161e-02+1.18034090e-01j)  (-1.44655938e-01-2.74576205e-02j)  (3.22951121e-02-1.63864533e-01j)  (1.72662252e-01+3.33913023e-02j)  (-3.15605871e-02+1.69534106e-01j)  (-1.54779809e-01-2.81084263e-02j)  (2.44321322e-02-1.30481558e-01j)  (2.11538761e-03+1.29919104e-01j)  (-1.56752567e-01-2.94142073e-04j)  (7.33521956e-04-1.74651782e-01j)  (1.80937291e-01+0.00000000e+00j)  (7.33521956e-04+1.74651782e-01j)  (-1.56752567e-01+2.94142073e-04j)  (2.11538761e-03-1.29919104e-01j)  (2.44321322e-02+1.30481558e-01j)  (-1.54779809e-01+2.81084263e-02j)  (-3.15605871e-02-1.69534106e-01j)  (1.72662252e-01-3.33913023e-02j)  (3.22951121e-02+1.63864533e-01j)  (-1.44655938e-01+2.74576205e-02j)  (-1.88491161e-02-1.18034090e-01j)  (4.35151696e-02+1.20014492e-01j)  (-1.39464021e-01+5.20686099e-02j)  (-5.82260559e-02-1.49761416e-01j)  (1.49593545e-01-6.02517260e-02j)  (5.69488435e-02+1.39302948e-01j)  (-1.20766523e-01+4.80216723e-02j)  (-3.42430288e-02-9.69680560e-02j)  (5.56427637e-02+1.01105643e-01j)  (-1.14291694e-01+6.70803108e-02j)  (-7.43742359e-02-1.19599581e-01j)  (1.16520996e-01-7.57472950e-02j)  (7.03149132e-02+1.05917831e-01j)  (-8.97791070e-02+5.83594698e-02j)  (-4.13508784e-02-7.07566008e-02j)
 (-1.14933377e-01-3.96976219e-02j)  (6.96526981e-02+1.12213410e-01j)  (1.80925189e-02-1.36294899e-01j)  (-1.00841513e-01+9.35834260e-02j)  (1.32254942e-01-7.29961414e-03j)  (-9.84273310e-02-7.31675675e-02j)  (2.55171690e-02+1.05939273e-01j)  (-1.19317241e-01+5.85188554e-02j)  (1.41406088e-01+3.22067083e-02j)  (-9.34172727e-02-1.19703017e-01j)  (-3.68878012e-03+1.52877116e-01j)  (9.69189071e-02-1.12227089e-01j)  (-1.36368017e-01+2.33945022e-02j)  (1.07694424e-01+6.13690915e-02j)  (-4.39291677e-02+1.31973770e-01j)  (1.28383831e-01-8.23433815e-02j)  (-1.59543054e-01-1.80231534e-02j)  (1.13644624e-01+1.16373407e-01j)  (-1.39616291e-02-1.58102708e-01j)  (-8.37833455e-02+1.23298349e-01j)  (1.28811149e-01-3.85657364e-02j)  (6.40901921e-02+1.24065300e-01j)  (3.10909910e-02-1.50743692e-01j)  (-1.26235278e-01+1.02992304e-01j)  (1.65995458e-01+0.00000000e+00j)  (-1.26235278e-01-1.02992304e-01j)  (3.10909910e-02+1.50743692e-01j)  (6.40901921e-02-1.24065300e-01j)  (1.28811149e-01+3.85657364e-02j)  (-8.37833455e-02-1.23298349e-01j)  (-1.39616291e-02+1.58102708e-01j)  (1.13644624e-01-1.16373407e-01j)  (-1.59543054e-01+1.80231534e-02j)  (1.28383831e-01+8.23433815e-02j)  (-4.39291677e-02-1.31973770e-01j)  (1.07694424e-01-6.13690915e-02j)  (-1.36368017e-01-2.33945022e-02j)  (9.69189071e-02+1.12227089e-01j)  (-3.68878012e-03-1.52877116e-01j)  (-9.34172727e-02+1.19703017e-01j)  (1.41406088e-01-3.22067083e-02j)  (-1.19317241e-01-5.85188554e-02j)  (2.55171690e-02-1.05939273e-01j)  (-9.84273310e-02+7.31675675e-02j)  (1.32254942e-01+7.29961414e-03j)  (-1.00841513e-01-9.35834260e-02j)  (1.80925189e-02+1.36294899e-01j)  (6.96526981e-02-1.12213410e-01j)  (-1.14933377e-01+3.96976219e-02j)
 (3.25216012e-02+1.04610576e-01j)  (-1.11949468e-01+5.44287381e-02j)  (-7.69202766e-02-1.10394298e-01j)  (9.98244036e-02-9.64514148e-02j)  (1.09778928e-01+8.16968350e-02j)  (-5.87727293e-02+1.14632589e-01j)  (-1.10183577e-01-3.45621788e-02j)  (-1.09267227e-01-5.94093935e-02j)  (4.64912151e-02-1.32009752e-01j)  (1.47926579e-01+2.64284058e-02j)  (-2.00346848e-03+1.54350270e-01j)  (-1.50086381e-01+2.31095240e-02j)  (-4.50695261e-02-1.35673462e-01j)  (1.13279486e-01-6.06324398e-02j)  (1.29011184e-01-3.73556225e-02j)  (6.48725018e-02+1.35448225e-01j)  (-1.31345574e-01+9.22311851e-02j)  (-1.15384574e-01-1.16990434e-01j)  (9.43907977e-02-1.30802105e-01j)  (1.36172391e-01+6.68967353e-02j)  (-3.85408040e-02+1.30853828e-01j)  (-6.67761783e-02+1.21269336e-01j)  (-1.45641592e-01-5.07094374e-02j)  (2.73693744e-02-1.61988401e-01j)  (1.67743648e-01+0.00000000e+00j)  (2.73693744e-02+1.61988401e-01j)  (-1.45641592e-01+5.07094374e-02j)  (-6.67761783e-02-1.21269336e-01j)  (-3.85408040e-02-1.30853828e-01j)  (1.36172391e-01-6.68967353e-02j)  (9.43907977e-02+1.30802105e-01j)  (-1.15384574e-01+1.16990434e-01j)  (-1.31345574e-01-9.22311851e-02j)  (6.48725018e-02-1.35448225e-01j)  (1.29011184e-01+3.73556225e-02j)  (1.13279486e-01+6.06324398e-02j)  (-4.50695261e-02+1.35673462e-01j)  (-1.50086381e-01-2.31095240e-02j)  (-2.00346848e-03-1.54350270e-01j)  (1.47926579e-01-2.64284058e-02j)  (4.64912151e-02+1.32009752e-01j)  (-1.09267227e-01+5.94093935e-02j)  (-1.10183577e-01+3.45621788e-02j)  (-5.87727293e-02-1.14632589e-01j)  (1.09778928e-01-8.16968350e-02j)  (9.98244036e-02+9.64514148e-02j)  (-7.69202766e-02+1.10394298e-01j)  (-1.11949468e-01-5.44287381e-02j)  (3.25216012e-02-1.04610576e-01j)
