 (-1.53742298e-01-1.53165527e-01j)  (-2.53707685e-01+5.43666128e-03j)  (-1.69858162e-01+1.84374970e-01j)  (1.29474382e-02+2.08182554e-01j)  (1.66125102e-01+1.78127291e-01j)  (2.87827823e-01+0.00000000e+00j)  (1.95838387e-01-2.09357883e-01j)  (-1.65582924e-02-2.39840850e-01j)  (-1.61524782e-01-1.78066154e-01j)  (-2.86651889e-01-3.75388314e-03j)  (-1.99360504e-01+2.07605985e-01j)  (1.34160331e-02+2.43201339e-01j)  (1.41191133e-01+1.53533957e-01j)  (2.50637187e-01+5.18892121e-03j)  (1.79648982e-01-1.79229992e-01j)  (-3.98828002e-03-2.16980336e-01j)
 (-9.63568878e-02+1.90227672e-01j)  (-1.84950557e-01-1.64415261e-01j)  (1.98663062e-01-1.32691803e-01j)  (5.86852396e-02+1.80845926e-01j)  (-1.74540911e-01+1.83629340e-01j)  (-1.55413225e-01-2.54699025e-01j)  (2.82569251e-01-8.50673197e-02j)  (5.87640583e-03+2.44419461e-01j)  (-2.11705588e-01+1.22295336e-01j)  (-7.45665086e-02-2.85519993e-01j)  (2.98370347e-01+0.00000000e+00j)  (-6.58384728e-02+2.44641696e-01j)  (-1.84943792e-01+4.41021546e-02j)  (9.79187688e-03-2.38701165e-01j)  (2.36686286e-01+7.22404923e-02j)  (-1.12195024e-01+1.81338065e-01j)
 (-7.28382747e-02-1.95807684e-01j)  (-2.00141454e-01-1.52035790e-01j)  (-2.43157288e-01-1.80773458e-02j)  (-1.66539461e-01+9.31675235e-02j)  (-2.26743711e-01+9.61627435e-02j)  (-1.71136865e-01+2.47383838e-01j)  (-1.07808034e-02+2.97820994e-01j)  (1.21993072e-01+2.06087758e-01j)  (1.00080714e-01+2.17573721e-01j)  (2.51059210e-01+1.60570369e-01j)  (3.00809890e-01+0.00000000e+00j)  (2.08082642e-01-1.31763417e-01j)  (1.71367972e-01-8.39559267e-02j)  (1.23470451e-01-2.10255332e-01j)  (-1.11685693e-02-2.51091111e-01j)  (-1.19591621e-01-1.71300635e-01j)
 (-2.00636368e-01+5.23652562e-02j)  (-1.89135740e-02-2.45904484e-01j)  (2.58102791e-01+2.72262608e-02j)  (-7.21217083e-02+2.33416599e-01j)  (2.00030884e-01+1.28810907e-01j)  (-1.84531728e-01+1.98849114e-01j)  (-1.66525649e-01-2.19818560e-01j)  (2.23908399e-01-1.12913792e-01j)  (-4.52035714e-02-2.46659954e-01j)  (2.75773441e-01+0.00000000e+00j)  (-4.70729154e-02+2.67164873e-01j)  (-2.23463509e-01-8.16618917e-02j)  (-1.42505333e-01+1.98436588e-01j)  (-1.77557244e-01-1.89292750e-01j)  (2.07431014e-01-1.33413316e-01j)  (7.94139061e-02+1.91547654e-01j)
 (-8.25491700e-02-2.45378150e-01j)  (2.47342957e-01+7.55686563e-02j)  (-1.78841039e-01+1.38957315e-01j)  (-6.90659299e-03-1.69311970e-01j)  (2.65345551e-01+9.19903146e-03j)  (-1.72652394e-01+2.33048344e-01j)  (-9.18684587e-02-2.62573772e-01j)  (2.24502363e-01+6.06561402e-02j)  (-8.49037047e-02+2.16499052e-01j)  (-1.56295110e-01-2.30123093e-01j)  (2.90035136e-01+0.00000000e+00j)  (-1.50563571e-01+2.18685836e-01j)  (-1.31933789e-01-1.06337761e-01j)  (2.18115317e-01-6.09832831e-02j)  (-8.65178058e-02+2.43729008e-01j)  (-1.48025720e-01-2.12398654e-01j)
 (-1.92868716e-01+1.04358780e-01j)  (1.06591158e-01-2.15472141e-01j)  (3.59637160e-02+2.43329212e-01j)  (-1.58203795e-01-1.75476502e-01j)  (8.39845835e-02+2.37554986e-01j)  (-2.21329747e-01-1.56504342e-01j)  (2.72920358e-01+0.00000000e+00j)  (-2.11693702e-01+1.46738045e-01j)  (2.52674089e-01-5.00208154e-02j)  (-1.89839642e-01+1.96077618e-01j)  (4.15145346e-02-2.67874989e-01j)  (1.12251107e-01+2.25578081e-01j)  (-1.60254173e-02-2.35719387e-01j)  (1.49802212e-01+1.95094315e-01j)  (-2.28947711e-01-7.32998227e-02j)  (2.09132618e-01-6.59745762e-02j)
 (-1.49530489e-01-2.09773058e-01j)  (-8.06433810e-02+2.43802282e-01j)  (2.13657335e-01-6.67802352e-02j)  (-1.32869758e-01-9.98473288e-02j)  (-1.54317801e-01+2.18543595e-01j)  (2.92038375e-01+0.00000000e+00j)  (-1.60007156e-01-2.29690235e-01j)  (-8.06237964e-02+2.19632149e-01j)  (2.23586772e-01+6.89016179e-02j)  (-8.58201181e-02-2.66448497e-01j)  (-1.76910740e-01+2.32355338e-01j)  (2.67362969e-01+9.60882070e-03j)  (1.04790149e-03-1.66200974e-01j)  (-1.82561697e-01+1.29538734e-01j)  (2.42829189e-01+8.35277969e-02j)  (-7.63199022e-02-2.46047506e-01j)
 (1.51379828e-01+1.81689589e-01j)  (-1.49664458e-01-1.97910732e-01j)  (1.36668991e-01+1.97262234e-01j)  (-1.15490950e-01-1.79509255e-01j)  (2.38779356e-01+9.68582116e-02j)  (-2.50245138e-01-1.16857869e-01j)  (2.41439562e-01+1.27775187e-01j)  (-2.14353988e-01-1.26924075e-01j)  (2.47924450e-01-2.43067948e-02j)  (-2.72826171e-01+1.36176869e-02j)  (2.76185428e-01+0.00000000e+00j)  (-2.57334421e-01-1.32698895e-02j)  (1.80596486e-01-1.13783310e-01j)  (-2.07296942e-01+1.20908146e-01j)  (2.19346219e-01-1.15997173e-01j)  (-2.14037086e-01+1.00573780e-01j)
 (3.05436347e-02+2.13859553e-01j)  (-1.07231800e-01+2.27725933e-01j)  (-2.08008433e-01+1.23856074e-01j)  (-1.90898736e-01-1.22218888e-02j)  (-2.47724561e-01-3.10624916e-02j)  (-2.24884555e-01-1.94538211e-01j)  (-7.66111276e-02-2.83560492e-01j)  (7.80711518e-02-2.27271741e-01j)  (8.96447534e-02-2.22960461e-01j)  (2.43455648e-01-1.64332483e-01j)  (2.97351944e-01+0.00000000e+00j)  (2.07674005e-01+1.38577935e-01j)  (1.52370962e-01+1.15649436e-01j)  (7.62838286e-02+2.29757726e-01j)  (-6.78879708e-02+2.42381895e-01j)  (-1.63014393e-01+1.41757292e-01j)
 (-1.14037936e-02-1.69473813e-01j)  (-1.71582869e-01+1.43671823e-01j)  (2.48130454e-01+6.48178189e-02j)  (-9.23086875e-02-2.43739708e-01j)  (2.27668476e-01+5.97942757e-02j)  (-9.51787059e-02-2.59786582e-01j)  (-1.66656276e-01+2.35622705e-01j)  (2.68534733e-01+2.58374538e-03j)  (-1.52957623e-01+2.20729572e-01j)  (2.88604181e-01+0.00000000e+00j)  (-1.57133858e-01-2.27721332e-01j)  (-8.26512328e-02+2.20402051e-01j)  (-1.45690152e-01-2.16111819e-01j)  (-9.03657997e-02+2.40008529e-01j)  (2.16378381e-01-5.71197844e-02j)  (-1.31776900e-01-1.07174009e-01j)
 (3.93120136e-02-2.19072719e-01j)  (-4.44425949e-02+2.43115117e-01j)  (4.93066321e-02-2.41998586e-01j)  (-5.09925347e-02+2.16347839e-01j)  (1.88201911e-01-1.64550523e-01j)  (-2.11215136e-01+1.80083180e-01j)  (2.14696219e-01-1.75811933e-01j)  (-1.96614710e-01+1.54208474e-01j)  (2.49666203e-01-1.02168806e-02j)  (-2.77441806e-01+5.50877039e-03j)  (2.77564020e-01+0.00000000e+00j)  (-2.49974308e-01-3.11121950e-03j)  (1.79169482e-01+1.31548175e-01j)  (-1.94528750e-01-1.52161181e-01j)  (1.91551816e-01+1.56166598e-01j)  (-1.72048971e-01-1.41200008e-01j)
